weekday,hour,minute,boss
1,00,15,肯恩特/木拉卡
1,02,00,克價卡/庫屯
1,11,00,卡嵐達
1,15,00,克價卡/庫屯
1,19,00,卡莫斯
1,23,30,克價卡/庫屯
2,02,00,羅裴勒
2,11,00,克價卡/庫屯
2,15,00,卡嵐達/羅裴勒 
2,19,00,貝爾
2,23,30,克價卡/羅裴勒
3,02,00,卡嵐達
3,11,00,克價卡/羅裴勒
3,15,00,卡莫斯
3,19,00,克價卡/庫屯
3,23,30,卡嵐達/羅裴勒 
4,02,00,庫屯
4,11,00,卡嵐達/庫屯
4,15,00,克價卡/羅裴勒
4,19,00,羅裴勒
4,23,30,卡嵐達/庫屯
5,02,00,克價卡/羅裴勒
5,11,00,庫屯/奧平
5,15,00,卡嵐達/羅裴勒 
5,19,00,克價卡/庫屯
5,23,30,肯恩特/木拉卡
6,00,15,卡莫斯
6,02,00,克價卡/庫屯
6,11,00,卡嵐達/庫屯
6,15,00,奧平
6,16,00,黑暗影子
6,19,00,克價卡/羅裴勒
0,02,00,卡嵐達/羅裴勒 
0,11,00,克價卡/羅裴勒
0,15,00,貝爾
0,19,00,卡嵐達/庫屯
0,23,30,奧平
